year,debt,pb,s,t,g,i,gdpn,gdp,expend,r
1940,43.6,-2.06,-3,6.7,9.6,2.1018,98200,7571.22,730,2.1018
1941,41.5,-3.44,-4.3,7.5,11.7,1.9555,116200,9296,1092.2,1.6655
1942,45.9,-13.17,-13.9,9.9,23.8,1.5527,147700,12702.2,3021.8,0.9527
1943,69.2,-28.72,-29.6,13,42.6,1.1967,184600,16890.9,7187.8,0.6467
1944,86.4,-21.21,-22.2,20.5,42.7,1.2008,213800,20268.24,8655.6,0.8708
1945,103.9,-19.63,-21,19.9,41,1.3232,226400,21983.44,9002.3,1.0932
1946,106.1,-5.19,-7,17.2,24.2,1.6997,228000,23826,5771.7,0.9597
1947,93.9,3.44,1.7,16.1,14.4,1.8739,238900,27688.51,3998.1,0.7339
1948,82.6,6.16,4.5,15.9,11.4,2.0072,261900,33235.11,3777.1,0.9072
1949,77.5,1.85,0.2,14.3,14,2.1104,276500,36276.8,5095.2,1.6804
1950,78.6,0.61,-1.1,14.2,15.3,2.197,278675,36060.55,5507.5,2.377
1951,65.5,3.29,1.9,15.8,13.9,2.1766,327050,44576.92,6203.6,1.4866
1952,60.1,0.89,-0.4,18.5,19,2.189,357100,50636.78,9597.9,1.639
1953,57.2,-0.35,-1.7,18.2,19.9,2.361,382050,55168.02,10989,2.101
1954,58,0.94,-0.3,18,18.3,2.143,387150,56562.62,10351.9,1.973
1955,55.8,0.46,-0.7,16.1,16.8,2.1402,406325,59811.04,10075,2.0302
1956,50.7,2.06,0.9,17,16.1,2.2862,438250,66175.75,10666.6,1.9062
1957,47.3,1.89,0.7,17.3,16.5,2.4412,463375,72564.53,11992.1,1.8812
1958,47.8,0.6,-0.6,16.8,17.4,2.476,473475,76371.52,13291.9,2.006
1959,46.5,-1.4,-2.5,15.7,18.3,2.455,504600,82653.48,15085.7,2.205
1960,44.3,1.36,0.1,17.3,17.3,2.9332,534325,88751.38,15312.9,2.7032
1961,43.6,0.62,-0.6,17.3,17.9,2.8176,546575,91988.57,16446.8,2.5976
1962,42.3,-0.04,-1.2,17,18.2,2.7777,585675,99564.75,18159.6,2.6077
1963,41.1,0.48,-0.8,17.2,18,3.0475,618200,106330.4,19146.4,2.8475
1964,38.8,0.35,-0.9,17,17.9,3.1921,661700,115268.14,20647.6,2.9721
1965,36.8,1.01,-0.2,16.5,16.7,3.2944,709325,125692.39,20950,2.9944
1966,33.8,0.73,-0.5,16.8,17.2,3.5592,780475,141265.98,24350.3,3.1792
1967,31.9,0.19,-1,17.8,18.8,3.8511,836525,156011.91,29367,3.3011
1968,32.3,-1.57,-2.8,17,19.8,3.8301,897575,173231.98,34379.9,3.1801
